Gene,Mock,30min,90min,180min
LGALSL,-0.420462,-0.884266,-0.175247,-1.26107
LGI1,-0.734589,-0.797185,-1.09555,-3.04494
LGI1-2,-0.23653,-0.450309,-0.319529,-2.26443
LGI2,0.93364,-0.203802,0.510023,-1.47903
LGI3,-0.0738532,0.596036,0.123913,-2.76605
LGI4,0.702462,0.950402,0.608428,-2.30282
LGMN,0.41807,0.264452,0.39786,0.92737
LGR4,-1.31765,-1.89659,-1.31962,-0.862476
LGR5,-0.963609,-1.70996,-1.32612,-1.92331
LGR6,-0.158141,0.172975,-0.219073,-0.94257
LHB,0.852826,2.34708,5.27873,2.69569
LHCGR,-1.60031,-2.2106,-1.1822,-2.32541
LHFP,-0.0186632,-0.2313,0.233349,-1.49173
LHFPL1,-1.21429,-1.40711,-0.756413,-2.02931
LHFPL2,-0.494233,-1.48534,-0.0472807,-0.516547
LHFPL3,-1.26424,-1.41159,-1.25102,-2.92547
LHFPL4,-0.0810179,0.49284,0.0474576,-2.82652
LHFPL5,-0.363039,0.187811,-0.793063,-4.05677
LHPP,0.327293,1.40333,0.7615,-0.963677
LHX1,0.607409,-0.250733,-1.78671,0.674108
LHX2,1.16659,0.786532,1.64088,2.65346
LHX3,0.257718,0.2895,4.36481,2.73289
LHX4,1.02388,0.777369,1.5159,-2.25949
LHX5,-1.21594,-0.368344,0.172181,-1.06332
LHX6,0.126149,-0.784163,-0.767494,-2.03765
LHX8,0.21626,-0.897133,-1.84813,4.18807
LHX9,0.455255,-0.119317,-0.00405537,-0.710415
LIAS,-0.0809084,-0.573713,-0.335326,-1.11247
LIF,0.286517,-2.15525,-0.754462,2.391
LIFR,-1.65996,-1.77872,-0.791483,-1.05154
LIG1,0.0812929,0.752483,0.328341,2.48988
LIG3,-0.183621,-0.285325,-0.0964937,-0.199
LIG4,-0.824148,-1.91636,-1.09574,-0.11944
LILRA6,2.04999,0.539347,2.98023,4.2433
LILRB3,-0.218461,0.205684,-0.955118,-1.68396
LILRB3-2,1.65533,0.455716,3.40852,3.36116
LIM2,0.886655,1.32385,1.79521,-1.97959
LIMA1,-0.330454,-0.984054,-0.603552,-0.206472
LIMCH1,-0.0979759,-1.39753,-0.316882,-2.21964
LIMD1,-2.50681,-3.63948,-2.85469,-0.188163
LIMD2,0.213393,1.34037,1.7089,4.35928
LIME1,-0.0788439,0.423809,1.02867,2.03659
LIMK1,-0.0515343,0.593779,0.115221,-2.07657
LIMK2,0.0889158,0.130972,0.440354,1.21558
LIMS1,-0.548558,-1.31434,-0.320892,-0.153143
LIMS2,1.1537,1.32999,1.32107,-0.686234
LIN28A,1.66667,2.98627,1.92679,-0.274997
LIN28B,-0.658924,-1.50276,-0.682562,-3.16042
LIN37,0.719905,1.54408,0.942253,0.550645
LIN52,-0.256395,-1.02571,-0.455998,-0.187565
LIN54,-1.62969,-1.92832,-1.47391,0.775318
LIN7A,-0.608488,-0.574693,-0.985998,-2.01667
LIN7B,0.529329,2.09632,0.977011,-1.38321
LIN7C,-0.888898,-1.84452,-0.770872,0.0511459
LIN9,-0.718549,-1.57524,-0.595187,0.982022
LINGO1,-0.0839649,0.469073,-0.0572815,-2.87531
LINGO2,-0.491993,-1.07602,-0.37051,-3.0783
LINGO3,-0.682494,0.638254,0.542322,-1.46979
LINGO4,-0.507459,-0.752416,-0.917271,-3.4488
LINS,-0.571033,-1.94181,-0.424079,-0.33496
LIPA,-0.226885,-0.602428,-0.185026,-0.198911
LIPC,0.511629,0.986564,0.491164,0.292888
LIPE,0.414919,-0.0951608,0.386659,-0.165962
LIPF,0.10372,-1.23039,-0.994756,8.35385
LIPH,-0.862567,-2.33985,0.0976213,3.41704
LIPI,-1.05797,-0.0202885,0.0476201,-1.76299
LIPJ,-2.38797,-2.19782,-1.84207,-1.46067
LIPK,-0.853945,-0.00431368,-0.0942675,-3.00196
LIPM,-0.074351,-0.999731,0.237301,-0.341778
LIPN,-0.24031,-3.29821,-0.616023,-2.09928
LIPT1,0.438764,0.135783,0.505077,-0.0659731
LIPT2,-0.0925823,0.593172,0.143882,-1.11445
LITAF,0.0683735,-1.14238,0.26421,-0.0735088
LIX1,-0.376173,-0.86788,-0.851841,-2.00515
LIX1L,-0.502391,-1.41484,-0.149413,-0.420258
LLGL1,0.184748,-0.200903,0.251586,-0.123708
LLGL2,-0.0582688,-0.669833,0.639061,3.09667
LLPH,0.560676,0.313991,0.487088,0.920349
LMAN1,-0.941449,-1.55721,-0.894975,-0.0242887
LMAN1L,-0.626076,-0.0830272,-0.0402,4.47905
LMAN2,0.496725,0.88592,0.790635,0.0729813
LMAN2L,0.0119054,0.345991,0.257473,-1.23423
LMBR1,-0.592943,-1.78688,-0.823387,-1.51883
LMBR1L,0.407218,0.6725,0.187171,1.84123
LMBRD1,-0.27496,-0.548569,-0.138121,-0.778792
LMBRD2,-1.517,-1.61389,-1.50959,-1.98794
LMCD1,0.951783,1.00351,1.40281,-0.844632
LMF1,0.326298,1.00535,0.784063,0.282968
LMF2,0.288489,1.09937,0.655339,-0.523837
LMLN,-2.02811,-4.34819,-2.39752,-0.941256
LMNA,0.578763,1.2768,0.770945,-0.637606
LMNB1,-0.0891051,-0.967853,-0.0739056,4.05251
LMNB2,-0.323248,-0.165341,0.212429,1.6458
LMO1,0.198928,1.69425,0.719287,-1.20471
LMO2,1.13529,0.747154,0.933763,2.12367
LMO3,-0.232602,-1.12203,-0.535655,-1.45888
LMO4,0.0289109,-0.23637,0.41754,-0.270602
LMO7,-0.322075,-1.01984,-0.305012,-0.665542
LMOD1,1.00159,0.716866,1.19483,-0.161546
LMOD2,-0.677693,1.35564,0.233363,-2.1034
LMOD3,-0.850362,0.106807,-0.868409,-3.0133
LMTK2,-0.798436,-0.890514,-0.570722,0.0519587
LMTK3,-0.0835016,1.18209,0.184347,-2.73664
LMX1A,-0.386614,-1.1541,-0.649807,-2.26682
LMX1B,0.666378,-0.113143,0.0761696,-0.291818
LNP1,-0.460136,-0.627633,-0.308784,-0.151934
LNPEP,-3.76939,-5.54939,-4.2793,-0.395809
LNX1,-0.743474,-0.271581,-0.605664,-0.962319
LNX2,-0.397394,-0.706471,-0.0361902,1.19221
LOC100124497,-0.381374,-1.87126,-0.615003,0.520492
LOC100125266,-0.248207,0,-0.990786,0
LOC100125388,-0.552728,-0.563889,0.185459,0.00320576
LOC100125412,-1.88035,-1.46386,-1.4109,-1.73692
LOC100125776,0.627078,0.469058,0.0895814,-0.144415
LOC100125913,-0.309473,-1.05644,-0.38184,-1.46663
LOC100125946,0.00884901,0.793791,0.589352,0.647678
LOC100125949,-0.583741,0.987037,-1.86347,-0.427264
LOC100126043,-0.147389,0.147524,-0.0178954,-0.943968
LOC100126053,0,0,-1.02296,-3.65246
LOC100126054,0.268986,0.619299,0.241289,-2.55633
LOC100126230,-0.302285,-0.623368,-1.21086,-2.265
LOC100126544,0.559912,1.66617,0.896248,-1.12076
LOC100126815,-0.73839,-2.04056,-5.48064,-2.16347
LOC100126816,-0.836738,-1.91793,-1.13428,-1.30263
LOC100137763,-0.407404,-0.793855,-0.00788957,0.219429
LOC100137797,0.786152,1.0503,1.05361,5.40355
LOC100137800,0.442928,0,-2.47092,-1.42299
LOC100137858,0,0,0,0
LOC100137867,0.128513,0.315901,-1.24576,-0.598376
LOC100137953,-0.323489,-1.83907,-0.106104,0.272278
LOC100137989,0.295912,-0.132672,0.0235557,-3.43778
LOC100138004,-0.859863,0,-2.36733,-0.801156
LOC100138032,0.555065,-0.545845,0.435354,0.909799
LOC100138041,0.865549,0,0.626252,-1.59962
LOC100138042,-0.776676,-2.53913,-1.29544,-1.84772
LOC100138054,3.46198,0,2.45923,0
LOC100138078,-0.505025,-0.681765,-1.01548,-2.30988
LOC100138235,-1.7555,-4.518,-1.024,-2.05711
LOC100138269,0,0,0.0176599,-1.69266
LOC100138271,0.399185,1.61894,0.508264,-3.94381
LOC100138302,-0.785084,-1.01113,0.0764928,1.26197
LOC100138326,-1.76783,-0.284585,-0.435521,-0.349024
LOC100138381,0.192208,-2.48238,-0.312365,1.19011
LOC100138426,1.34868,-0.442206,1.41782,-1.22469
LOC100138449,-0.203699,-0.953829,-0.215588,0.374973
LOC100138474,1.04043,-0.105393,1.07037,-0.372416
LOC100138492,0,0,0,-0.141969
LOC100138596,1.35811,2.30026,1.91432,-0.791436
LOC100138620,-0.978101,-1.98733,-2.04336,-3.65152
LOC100138633,0.61314,1.48782,0.993026,0.708835
LOC100138641,-1.034,-1.70459,-2.31383,-0.932599
LOC100138645,-0.470577,-0.505742,-0.79619,-2.35982
LOC100138647,-0.652235,-0.441487,0,-0.819853
LOC100138660,-1.87337,-3.25295,-2.37284,0.0886094
LOC100138791,1.24061,0,1.44198,0.614353
LOC100138847,-0.0951419,0.0338462,0.875123,2.43868
LOC100138853,2.59633,0,0.842538,0
LOC100138866,-0.000320949,0,-0.767108,0
LOC100138908,0.955975,-0.259374,0,-1.73296
LOC100138922,-0.655431,-3.88272,-1.23783,2.12929
LOC100138951,1.31905,0.551158,0.750491,2.94376
LOC100138964,0.0833524,-0.331752,0.0822293,-0.962958
LOC100138996,2.37461,0,0.0977595,-0.00718328
LOC100138998,0.592619,0,-0.579526,-1.25663
LOC100139000,0.176551,-0.604239,0.570941,-0.222204
LOC100139047,-0.705433,0,0.407079,-1.50015
LOC100139049,-1.73322,-3.99043,-2.03139,-1.83899
LOC100139061,0.108082,-0.114165,0.982936,1.45594
LOC100139101,0.335963,2.6511,1.51393,-2.09142
LOC100139104,0.0945415,0,-0.678105,-1.75022
LOC100139155,0,0,-1.68077,-2.691
LOC100139164,-0.158026,-3.96605,-1.65257,1.12207
LOC100139317,-0.640663,-0.7485,0.460044,-1.3346
LOC100139318,0.473283,0,1.12147,-0.532051
LOC100139334,0,-0.251689,0,-1.74458
LOC100139345,-0.290925,-1.5527,-0.50278,0.226029
LOC100139350,0.399202,-0.758353,-0.408438,0
LOC100139362,-1.85178,-2.4359,-1.02408,-1.9735
LOC100139381,0.501159,0.587819,-1.00937,2.25746
LOC100139408,-1.09909,0.228513,-0.509079,-4.37829
LOC100139483,0.363435,1.08883,-0.710182,0
LOC100139506,-0.17978,-2.21464,-0.489403,-3.7057
LOC100139549,1.5256,0.460834,0.871129,0.00393007
LOC100139585,-1.9431,0,-1.86513,0
LOC100139588,-0.392531,-0.122163,0.479442,0
LOC100139632,0,0,-1.2996,-3.39829
LOC100139680,-0.891617,-1.76795,-0.301619,0.375822
LOC100139733,1.01075,0,-1.94185,0
LOC100139764,-0.944751,-1.53115,-1.06913,-0.571452
LOC100139826,-1.04747,-0.180778,-0.271256,0
LOC100139830,-1.28431,0,-1.96068,-3.17586
LOC100139843,-0.469357,-0.740182,-0.61349,-3.62297
LOC100139881,0.361379,1.2678,1.55098,1.0989
LOC100139885,-2.94261,0,-2.08712,-2.19292
LOC100139890,-0.543516,-0.539247,-1.23151,-2.56057
LOC100139891,-0.35674,-1.6735,-0.136706,0.981162
LOC100139916,0.642974,1.91288,1.21041,2.07035
LOC100139996,0.264068,-0.681349,0.206985,0.0919233
LOC100140038,0.681118,-2.11416,-0.703768,-2.67323
LOC100140108,-1.20512,-1.79245,-1.68825,-1.41897
LOC100140115,0.230173,0.992998,-0.193721,-1.11854
LOC100140121,-0.358769,-1.33439,-0.756992,-0.0102638
LOC100140174,-0.143863,0.345381,-0.505153,-0.51759
LOC100140207,-0.235594,-0.351631,-0.739293,-0.888752
LOC100140226,0.523216,-2.11367,-0.331198,0.535288
LOC100140261,0,0,0,0
LOC100140372,0,0,20,0
LOC100140382,0,0,-0.733206,-0.251901
LOC100140403,1.4331,1.76329,0.710407,-1.34161
LOC100140445,0.795778,-0.46502,-0.482573,-0.77675
LOC100140490,0.635287,-1.36614,0.134455,-1.20615
LOC100140503,-0.759596,0.510449,-0.177085,-2.77845
LOC100140586,0.282129,-0.556102,0.071458,-0.526721
LOC100140640,-1.16469,0.189747,-0.262999,-2.35373
LOC100140659,-0.5675,-1.17147,-0.286613,-2.5686
LOC100140695,-1.82129,0,-0.862054,-1.8156
LOC100140748,2.32122,1.3598,1.54866,-0.0230854
LOC100140788,-1.48511,-2.34251,-0.595019,3.45304
LOC100140839,0,1.50564,2.06172,0
LOC100140850,-1.07117,-1.0581,-1.01768,3.0581
LOC100140873,-0.729438,-4.12818,-1.37236,2.47574
LOC100140878,0.747774,0,1.72788,-0.55108
LOC100140908,-1.36946,-2.29179,-2.59789,-2.29064
LOC100140912,0,0,0,0
LOC100140915,0.203649,0.362057,0.234775,-0.0249389
LOC100140966,-0.820273,-1.99122,0.0379386,-3.35353
LOC100140974,-0.279718,-1.46391,-0.794615,-1.36728
LOC100141052,-1.93899,-4.72012,-3.08055,-2.5287
LOC100141070,2.32371,-0.924471,2.67692,0.503265
LOC100141071,-0.683663,-2.89357,-0.136333,-2.24677
LOC100141072,0.194237,-2.35762,-1.47829,-3.18067
LOC100141108,0,0,0,0
LOC100141117,0.0449495,0,-2.80265,-0.810828
LOC100141128,-1.61297,-1.91309,-2.0653,-5.04898
LOC100141191,-1.27605,1.30589,0.946305,-0.687931
LOC100141194,1.57606,0,0.113913,0
LOC100141212,0,2.24208,0,0
LOC100141230,-2.05993,0,-1.23456,-3.92236
LOC100141242,2.32691,0,1.48412,1.21359
LOC100141258,0.453943,0.515365,0.84562,-0.306207
LOC100141266,-1.93332,-2.38567,-1.27786,0.089294
LOC100141284,-2.84362,0,-1.96621,-2.72859
LOC100174924,1.05617,0.226006,1.33673,2.38617
LOC100190915,-0.342294,1.48474,0.297787,-2.36631
LOC100196897,0.206445,0.232608,0.546048,0.265932
LOC100196898,0.958609,1.4926,1.17315,-0.136962
LOC100196899,2.12504,0.969736,0.575161,-2.10946
LOC100196900,3.14323,1.24058,2.0887,1.19233
LOC100196901,0.562535,-0.226943,0.678715,1.51973
LOC100196902,0.265957,-1.16807,0.0356152,-3.7024
LOC100271685,-0.380422,-1.78126,0.130274,-1.6189
LOC100271850-MEF2B,-0.0841882,-1.53715,-0.200116,0.833729
LOC100294723,-0.00188098,-3.82874,0.478747,2.79569
LOC100294726,-0.617259,-3.93572,-0.427544,3.13779
LOC100294744,1.45543,0.996558,1.18618,-1.02113
LOC100294785,0.000777863,0.131065,1.00456,2.89585
LOC100294792,-0.67581,-2.54548,-0.826092,0.885697
LOC100294804,-0.412103,0,-0.27751,-2.7502
LOC100294820,-0.172822,-1.33647,-1.24613,-0.0216434
LOC100294918,0.00704418,-0.211539,1.03298,1.9336
LOC100294933,0,0,0,-0.610624
LOC100294937,-0.686232,0,-1.77665,0
LOC100294942,2.0021,0,0.830775,0
LOC100294954,-0.445143,0,0.195852,1.861
LOC100294956,-0.772503,-1.43295,-1.03922,-1.42478
LOC100294962,0.456716,0,-1.72562,0
LOC100294973,-1.52355,0,-4.53146,1.70262
LOC100294980,0,0,-0.216924,-0.958314
LOC100294994,0.113028,-3.55089,0.573685,0.871706
LOC100295015,0,0,0,0
LOC100295153,0,0,0,0
LOC100295196,-0.395222,-0.724038,-0.284666,1.76521
LOC100295221,-0.348381,0.817637,0.706813,3.55371
LOC100295234,-0.792621,1.25196,-0.884548,2.00595
LOC100295252,-0.426074,0,0,0
LOC100295268,0.938596,1.53655,1.01552,0.424752
LOC100295355,0.0155196,2.12276,-0.244001,-0.028287
LOC100295410,-0.218592,-2.61418,-0.619756,-0.837
LOC100295548,0.24461,0.882365,0.104399,-1.00501
LOC100295554,0.988971,2.45334,1.52278,2.22815
LOC100295593,1.71198,-0.591624,0.472058,-1.61348
LOC100295597,0,0,-2.08189,-2.92985
LOC100295614,2.12244,0,2.52765,4.33165
LOC100295623,0,1.29059,-0.17543,0
LOC100295645,0,0,20,20
LOC100295682,-1.01641,0,-1.33143,-4.0369
LOC100295687,-0.298163,0.155482,0.408685,-0.313896
LOC100295693,0,20,0,0
LOC100295703,0,-0.874223,0.109498,0
LOC100295717,-0.0658104,-1.74686,-0.804006,-2.2296
LOC100295719,0.175982,0,-0.169385,1.36696
LOC100295735,-1.2618,0,0.0366051,-1.23446
LOC100295742,2.14199,5.03148,4.19496,-0.605501
LOC100295750,1.17146,0,-0.0565148,0
LOC100295797,1.57467,-0.347643,0.621669,0.136459
LOC100295805,-0.0641797,0,-0.509777,0
LOC100295806,0,0,0,20
LOC100295823,0,0,20,20
LOC100295842,3.84265,0,-0.283825,10.0965
LOC100295848,-0.720073,-0.293531,-2.07329,-0.629388
LOC100295858,0.0694754,0.544386,0,-2.60377
LOC100295883,-0.576494,-0.899751,-0.150027,-1.11097
LOC100295884,0.665314,0,-1.72745,-0.247543
LOC100295922,0.616277,-0.279849,0.789292,-1.90745
LOC100295940,0,0,20,0
LOC100295951,0.0485764,-1.68778,-0.76131,-1.03289
LOC100295973,0.247624,1.84481,0.868833,-2.57495
LOC100295995,-1.32968,0,-2.68495,-3.23348
LOC100296035,0,0,-1.27706,0
LOC100296067,0.635299,0.516493,0.265401,-1.87129
LOC100296090,20,0,0,0
LOC100296102,2.13987,-1.05762,0.885603,0.566583
LOC100296105,-0.747834,-8.85237,-0.169338,-1.65253
LOC100296121,0.0592502,-1.90849,-0.49813,-1.17105
LOC100296139,0.519692,0,0.169162,0.12059
LOC100296155,0.201548,-1.57024,1.15575,0.942483
LOC100296156,-0.642545,0.219711,-1.79274,0
LOC100296164,-1.42712,-1.63416,1.31962,-3.41452
LOC100296173,0.812245,2.52286,1.49272,2.14949
LOC100296203,-1.49679,0,-1.0729,-2.46623
LOC100296205,0.561537,0.432792,0.287836,-1.49527
LOC100296211,0.0645965,0.292043,0.0299108,-1.8791
LOC100296227,2.51205,4.05589,1.33486,0
LOC100296255,20,0,20,20
LOC100296257,0.726804,-0.0725799,-0.571244,1.51762
LOC100296271,-1.00593,-1.04543,-1.18283,-3.22971
LOC100296275,0.778809,1.44819,0,-0.878103
LOC100296317,1.1512,1.69447,1.14841,2.86458
LOC100296324,0.766974,2.12922,1.15616,-0.0973204
LOC100296348,-1.31556,-1.2772,-1.03943,-0.875507
LOC100296410,-0.505271,0,-0.346186,0.0594312
LOC100296421,-0.881314,-2.77767,-0.83199,-2.33424
LOC100296458,20,0,20,0
LOC100296479,2.04919,0,1.4374,0.935858
LOC100296529,0,0,0,-0.915991
LOC100296541,0,0,0,20
LOC100296545,-0.224696,1.07483,1.17601,4.53466
LOC100296550,-4.56958,-0.228792,-5.41156,0.484777
LOC100296565,-0.0704656,0,0.0350061,4.29822
LOC100296581,1.66756,-0.0151951,0.272975,0.356276
LOC100296598,-1.74692,0,-0.997499,3.03631
LOC100296618,-0.626194,-2.0046,0.52862,8.30386
LOC100296624,-1.62915,-0.426962,-0.179583,-1.07437
LOC100296627,0.299842,0.0588246,0.142187,-1.69736
LOC100296670,0,0,-0.942091,0
LOC100296683,0.297232,0,-1.94043,3.6862
LOC100296695,0,0,-0.663202,0.639206
LOC100296742,-0.562308,-0.509029,0,1.20387
LOC100296752,-0.71939,0,-2.83084,0.54124
LOC100296770,-0.954971,0.892855,0.555879,-0.546033
LOC100296778,-0.801457,-1.73295,0.224255,1.2291
LOC100296801,-0.0867436,0.283429,0.489988,-2.90423
LOC100296832,-1.22142,-2.8574,-2.22507,-3.06701
LOC100296892,0.13418,-0.657331,-0.783338,-2.86324
LOC100296900,0.960476,1.458,1.20943,-1.31504
LOC100296901,-0.668485,-2.56326,-1.07163,0.055145
LOC100296963,0,0.374717,1.37691,-0.663644
LOC100296992,-0.566447,-0.871431,0.497257,0.877824
LOC100297006,0,-0.650935,-1.01992,-2.55322
LOC100297018,-0.731958,0,-1.87648,-2.94191
LOC100297044,1.29608,-1.90692,0.589721,0.336614
LOC100297056,0.825642,1.21748,0.880322,-0.420949
LOC100297063,0.0193027,0.768064,0.793423,-2.1731
LOC100297075,0,0,0,20
LOC100297090,1.47169,0.271503,-1.64962,-1.87575
LOC100297097,0.2774,-0.193574,-0.25627,0.262742
LOC100297099,0.17775,0.481612,0.313264,-0.968508
LOC100297147,-1.62863,-6.58347,-1.89974,-3.2754
LOC100297152,0.847746,0.0357958,0.668959,-0.551859
LOC100297175,-0.919132,-4.42575,-1.35272,-0.921339
LOC100297185,0.267783,0.656665,0.111584,0.887875
LOC100297214,0,0,20,0
LOC100297221,-0.271533,-0.566758,-0.405011,0.00995798
LOC100297222,0.702692,0,-0.963333,0
LOC100297225,-0.412258,-1.37819,-0.935969,-0.621244
LOC100297236,1.0815,-0.723609,-0.0320114,-1.41617
LOC100297248,-0.615712,-2.20282,-0.988223,3.33068
LOC100297263,1.97734,0.232557,1.83608,4.74055
LOC100297276,-0.732348,-4.40754,-1.67418,-2.95214
LOC100297334,0.477164,2.11965,0.942647,0
LOC100297336,0.130547,1.25615,1.02975,-1.68377
LOC100297337,-0.750942,-3.59958,-1.10802,0.448508
LOC100297399,1.21488,1.09363,0.678881,1.33103
LOC100297422,-2.08535,2.81626,0.848155,-1.89077
LOC100297500,0.294744,-0.973961,0.724085,-0.766513
LOC100297504,0.250007,0,-0.64791,1.79329
LOC100297513,-0.271654,-0.622171,-0.571571,0.217877
LOC100297522,1.07405,1.11799,1.16505,1.11875
LOC100297540,-1.43286,-4.77254,-1.32478,-0.702591
LOC100297594,-1.13076,0.117973,2.17729,4.58797
LOC100297608,1.34786,0,1.15262,-2.68493
LOC100297617,2.17744,-1.86578,0.249052,5.07394
LOC100297621,-0.0327976,-0.171946,-2.4396,-0.387457
LOC100297622,0.611847,0.466402,0.485822,-1.55135
LOC100297646,0.206647,-0.949872,-1.90449,-2.5821
LOC100297647,1.6829,1.2869,1.73701,2.31765
LOC100297676,-0.165134,-1.16941,-0.286761,2.25721
LOC100297679,-3.73658,-1.23878,-1.12874,-3.97675
LOC100297708,-1.87062,0,0.704845,0.909076
LOC100297713,-0.611676,0,0.255688,-2.13266
LOC100297725,0.936558,-0.302223,0.967772,2.02359
LOC100297773,0.0299073,0,-0.650024,-0.939652
LOC100297779,-1.52099,0.290783,0.0728408,0.0789243
LOC100297786,-2.21934,-2.33334,-1.34977,0
LOC100297815,0.611241,0.601222,0.854489,0.331584
LOC100297846,0,0,-0.135991,0
LOC100297857,-0.332091,1.36192,-0.00993185,-2.34633
LOC100297905,-0.0145303,-0.401991,0.364872,0.255113
LOC100297941,0.329353,0.27077,0.367266,-0.906874
LOC100297996,1.14611,0,1.34995,0
LOC100298021,1.0512,1.13988,0,0
LOC100298064,0.52311,0,-2.1145,-1.97818
LOC100298103,-0.463896,0,0,0
LOC100298119,0,0,-1.39492,-2.47948
LOC100298165,-0.821633,0.584252,-0.610382,-2.15651
LOC100298176,-0.660335,2.36802,3.24418,-2.24835
LOC100298264,-1.32488,1.34831,-0.12844,2.29339
LOC100298322,0,0,20,0
LOC100298356,1.45799,0.882009,1.20312,-0.477079
LOC100298364,1.33017,0.310181,1.39032,-0.977844
LOC100298367,0.0133703,-1.818,-1.25308,0.755169
LOC100298394,-0.190896,0.097926,-0.797512,-1.87977
LOC100298420,-0.0776005,2.25269,0.651458,-5.3059
LOC100298428,-2.30251,-2.16736,-0.528171,-0.760484
LOC100298453,0.876417,0,3.27221,2.57966
LOC100298530,-1.69649,0,-1.07112,-3.95214
LOC100298542,0.557486,0.903202,0,0
LOC100298573,-0.601459,0,-1.39268,-2.79857
LOC100298605,0.0343319,-2.71749,-2.37272,-1.89582
LOC100298610,0,0,0.418864,0.497549
LOC100298625,-1.04055,1.42981,0.431855,-3.37228
LOC100298641,-0.607953,-1.9418,1.5364,0.0877107
LOC100298642,-1.08795,-2.77457,-0.541904,4.56429
LOC100298643,-0.384751,0,-0.385206,-1.80895
LOC100298645,0,20,0,0
LOC100298655,-0.461856,-3.52657,-3.55962,-6.86593
LOC100298658,20,0,20,0
LOC100298692,0.0182131,-0.409906,-0.00949769,0.647967
LOC100298718,0,-0.180173,0,-1.7622
LOC100298767,0.82881,0,-0.635437,-0.710747
LOC100298769,0,0,0,0
LOC100298773,0.324444,0,-0.311545,-0.38839
LOC100298808,20,0,20,0
LOC100298824,-0.363954,0.579148,0.999509,-2.14561
LOC100298850,0,0.157863,0.403098,0
LOC100298868,-0.845791,-3.71673,-0.768071,-0.00559609
LOC100298870,0.160329,0,0.94606,4.36413
LOC100298890,0.896449,1.70251,0.947546,-2.05103
LOC100298891,-1.8378,0,-1.51042,1.7735
LOC100298892,0,0,0,0
LOC100298923,-0.16152,-0.7974,-0.110784,-0.811056
LOC100298937,0.10176,-0.308835,-0.118283,-0.613423
LOC100298968,-1.02028,-0.925505,-1.07217,-1.92466
LOC100299005,0.584807,2.46653,0.417083,1.73787
LOC100299023,-0.81195,0,-1.46674,-1.6245
LOC100299025,-0.475244,-1.52357,-0.75329,-0.580224
LOC100299076,-0.86072,1.34703,1.24045,3.5511
LOC100299084,1.99847,0.116891,2.04916,0
LOC100299102,1.07833,2.61955,0.102279,-2.59326
LOC100299144,-0.656903,0.808252,1.08223,-1.76882
LOC100299180,-3.7197,-2.75732,-3.18214,-0.304085
LOC100299192,-0.165333,-1.43107,-0.629923,0
LOC100299242,-0.78711,-3.05408,-0.901401,-1.21671
LOC100299247,0.341683,0,-0.788027,0
LOC100299268,-0.672962,0,-0.50444,0
LOC100299275,2.41634,0,0.774392,0
LOC100299277,0.123703,0.33491,-0.00972044,0.117205
LOC100299281,0.408388,-0.660779,0.0199437,0.709769
LOC100299289,0,20,0,0
LOC100299289-2,0,0,0,0
LOC100299320,1.86765,1.16582,1.64608,-0.945144
LOC100299372,1.28528,0,0,0
LOC100299465,0,0,20,20
LOC100299481,-0.234169,0,0,-1.65309
LOC100299481-2,-0.150571,0,-3.01897,-2.32192
LOC100299503,-0.567387,-0.91023,-0.784358,0.487757
LOC100299556,0,0,0,0
LOC100299557,1.09084,-0.895987,0.921557,4.05821
LOC100299600,0.0327253,0.508986,0.392631,-1.71782
LOC100299615,0.407253,0,1.12554,0
LOC100299628,0,0,-1.02102,0
LOC100299686,-1.4105,0,-2.22882,0
LOC100299712,-0.747809,-1.629,-0.870767,-0.147558
LOC100299732,0,0,20,20
LOC100299757,0.964704,-1.28158,-1.33682,0.119298
LOC100299783,1.77055,-0.509642,1.66052,0.388193
LOC100299811,20,20,20,20
LOC100299970,0,0.727315,0.848351,3.36032
LOC100299995,1.40196,1.33175,1.54242,0
LOC100300010,0,0,-0.700531,0
LOC100300014,0,0,0,20
LOC100300040,1.85217,-0.53323,0.769205,-3.28549
LOC100300061,-1.12783,0,-2.4988,-2.62572
LOC100300085,-0.0532454,1.49159,0.166653,0
LOC100300091,0.0702519,-1.7267,-0.987275,-1.83165
LOC100300095,-0.369873,-1.23461,-1.0488,-0.810208
LOC100300099,20,0,0,0
LOC100300108,-1.29502,-0.676848,-0.373761,0
LOC100300115,-0.760128,0,-0.0485742,-2.75436
LOC100300153,0.663875,0,-0.787692,-2.10304
LOC100300167,0,20,20,0
LOC100300175,-2.11574,-1.22988,-1.48559,-5.53167
LOC100300332,20,0,20,20
LOC100300337,-0.340215,-0.257677,-0.773809,-2.09204
LOC100300342,-1.53177,-1.76784,-0.220816,-2.16635
LOC100300401,1.79444,0.994957,-0.34264,-2.75946
LOC100300428,2.22612,-0.0421641,2.04442,3.9546
LOC100300434,-0.966163,-1.02566,-1.68984,-2.86748
LOC100300442,0.311352,-0.552377,1.03686,-2.63408
LOC100300446,2.11855,0,0.359964,-0.719708
LOC100300483,1.23326,1.80128,2.1688,2.54576
LOC100300488,0,-0.177963,0.514883,0
LOC100300490,-0.928253,-1.62704,-1.68546,0.894595
LOC100300510,0.231576,1.57247,1.56792,4.11406
LOC100300545,-1.70871,0,0.734455,-1.90666
LOC100300546,0.829579,0,1.6274,0
LOC100300575,-0.0237354,0,-0.28553,-1.28267
LOC100300684,2.44632,1.21918,2.37892,-2.03323
